system,dataset,label,slots,k,runs,rows,recall_mean,recall_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,qps_mean,qps_std,avg_latency_ms_mean,avg_latency_ms_std,p50_ms_mean,p90_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean,stddev_ms_mean,gpu_mem_peak_mib_mean,gpu_mem_peak_mib_std,gpu_mem_peak_mib_max,max_ms_std,p50_ms_std,p90_ms_std,p95_ms_std,p99_ms_std,stddev_ms_std
chimera,msmarco,g2,1,100,3,3,0.964639,0.000001,0.966299,0.000009,0.964639,0.000001,261.766667,0.993635,3.820000,0.014177,3.794333,4.149667,4.261667,4.555333,9.551333,0.303667,,,,0.749275,0.012097,0.013868,0.015503,0.020306,0.008327
chimera,msmarco,h1,1,100,3,3,0.966427,0.000023,0.966390,0.000000,0.966427,0.000023,219.359000,2.564948,4.559000,0.053703,4.517333,4.940667,5.075000,5.426000,13.853000,0.478000,,,,6.048088,0.034269,0.043776,0.047571,0.087430,0.187838
chimera,msmarco,i1,1,100,3,3,0.967855,0.000014,0.966476,0.000000,0.967855,0.000014,187.356000,0.648501,5.337333,0.018448,5.294667,5.774667,5.922333,6.339000,12.850667,0.447667,,,,0.468929,0.011930,0.015044,0.027755,0.072333,0.066275
chimera,msmarco,j1,1,100,3,3,0.968905,0.000008,0.966504,0.000000,0.968905,0.000008,161.954000,0.615483,6.174333,0.023459,6.128000,6.654000,6.834667,7.589667,16.428000,0.564333,18297.380000,0.000000,18297.380000,4.629703,0.021071,0.030348,0.057535,0.626904,0.092138
chimera,msmarco,low1,1,100,3,3,0.343262,0.000000,0.807966,0.000000,0.343262,0.000000,702.006667,8.496461,1.424333,0.017010,1.410333,1.512000,1.546667,1.628333,12.702667,0.299000,,,,3.917874,0.011240,0.029052,0.035642,0.052880,0.118647
chimera,msmarco,low2,1,100,3,3,0.440395,0.000000,0.884026,0.000000,0.440395,0.000000,660.589667,45.078330,1.518333,0.100585,1.483333,1.615333,1.659000,1.851000,13.012333,0.527667,,,,2.155529,0.063375,0.083339,0.093984,0.151595,0.146138
chimera,msmarco,low3,1,100,3,3,0.513317,0.000010,0.897025,0.000008,0.513317,0.000010,681.036000,18.780973,1.469000,0.040731,1.450667,1.543333,1.574667,1.717333,7.975000,0.201333,,,,1.679263,0.027209,0.063058,0.078309,0.114984,0.109810
chimera,msmarco,low4,1,100,3,3,0.641432,0.000013,0.921819,0.000025,0.641432,0.000013,668.682667,9.214862,1.495333,0.020599,1.478000,1.577000,1.631667,1.745000,8.071000,0.196333,,,,1.055091,0.012767,0.041328,0.084949,0.084042,0.052444
chimera,msmarco,low5,1,100,3,3,0.648604,0.000025,0.925922,0.000008,0.648604,0.000025,668.306333,13.335117,1.496333,0.029738,1.476000,1.591000,1.628333,1.731333,8.498333,0.198333,,,,1.383859,0.014107,0.070150,0.083429,0.119709,0.074144
chimera,msmarco,low6,1,100,3,3,0.708897,0.000021,0.938200,0.000008,0.708897,0.000021,665.918333,9.975314,1.501667,0.022502,1.479333,1.593333,1.645000,1.777000,8.995667,0.223333,,,,1.516910,0.014012,0.037018,0.056027,0.079981,0.082857
