system,dataset,topk,recall,qps,label,source
PLAID,lotte,100,0.958257,16.519229,c11,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.958519,14.022051,c11m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.958557,11.975972,c13,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.960147,10.30049,c13m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.961331,9.794784,c14,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID+,lotte,100,0.860863,140.307778,c3m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.886673,136.085755,c4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.91,129.839752,c4m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.920212,123.575169,c5,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.932054,111.326159,c5m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
PLAID+,lotte,100,0.936022,102.341137,c7,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv
